lat,lon,ele,time,deltaDistMeters,deltaTimeSeconds,deltaElevationMeters,cumTime,velocityKmPerHour,min,max,cumElevation,cumDistance,elevationGradients,gradientRange
41.00636,28.638096,171.9,2021-10-22 20:49:54,5.772169514178637,1.0,-0.09999999999999432,16171.0,20.779810251043095,,,-25.90000000000049,38615.09212524595,-1.7,"(-3, -1]"
41.006331,28.638137,171.8,2021-10-22 20:49:55,4.720642931747029,1.0,-0.09999999999999432,16172.0,16.994314554289303,,,-26.000000000000483,38619.8127681777,-2.1,"(-3, -1]"
41.006304,28.638174,171.8,2021-10-22 20:49:56,4.323747768084774,1.0,0.0,16173.0,15.565491965105185,,,-26.000000000000483,38624.13651594578,0.0,"(-1, 1]"
41.006275,28.638215,171.7,2021-10-22 20:49:58,4.72064506730079,2.0,-0.10000000000002274,16175.0,8.497161121141422,,,-26.100000000000506,38628.85716101308,-2.1,"(-3, -1]"
41.006235,28.638273,171.6,2021-10-22 20:49:59,6.600528172811234,1.0,-0.09999999999999432,16176.0,23.761901422120445,,,-26.2000000000005,38635.457689185896,-1.5,"(-3, -1]"
41.006196,28.638321,171.6,2021-10-22 20:50:00,5.925167370804263,1.0,0.0,16177.0,21.33060253489535,,,-26.2000000000005,38641.3828565567,0.0,"(-1, 1]"
41.006162,28.638358,171.5,2021-10-22 20:50:01,4.897574069908784,1.0,-0.09999999999999432,16178.0,17.631266651671623,,,-26.300000000000495,38646.28043062661,-2.0,"(-3, -1]"
41.006125,28.638402,171.5,2021-10-22 20:50:03,5.534173212931938,2.0,0.0,16180.0,9.961511783277489,,,-26.300000000000495,38651.81460383954,0.0,"(-1, 1]"
41.006093,28.638461,171.5,2021-10-22 20:50:04,6.103682536264561,1.0,0.0,16181.0,21.97325713055242,,,-26.300000000000495,38657.91828637581,0.0,"(-1, 1]"
41.006079,28.638523,171.4,2021-10-22 20:50:05,5.436548478100224,1.0,-0.09999999999999432,16182.0,19.571574521160805,,,-26.40000000000049,38663.35483485391,-1.8,"(-3, -1]"
41.006076,28.638598,171.4,2021-10-22 20:50:06,6.309305019599776,1.0,0.0,16183.0,22.713498070559194,,,-26.40000000000049,38669.66413987351,0.0,"(-1, 1]"
41.006082,28.638681,171.3,2021-10-22 20:50:08,7.004427176467498,2.0,-0.09999999999999432,16185.0,12.607968917641497,,,-26.500000000000483,38676.66856704998,-1.4,"(-3, -1]"
41.006091,28.638729,172.0,2021-10-22 20:50:10,4.1548947320943705,2.0,0.6999999999999886,16187.0,7.478810517769867,,,-25.800000000000495,38680.82346178207,16.8,"(10, 30]"
41.006097,28.638742,172.0,2021-10-22 20:50:11,1.280137005276474,1.0,0.0,16188.0,4.6084932189953065,,,-25.800000000000495,38682.10359878735,0.0,"(-1, 1]"
41.006105,28.638763,172.0,2021-10-22 20:50:12,1.9761676247529687,1.0,0.0,16189.0,7.114203449110687,,,-25.800000000000495,38684.0797664121,0.0,"(-1, 1]"
41.006113,28.638768,172.0,2021-10-22 20:50:13,0.9846397685691405,1.0,0.0,16190.0,3.544703166848906,,,-25.800000000000495,38685.06440618067,0.0,"(-1, 1]"
41.006131,28.638786,172.0,2021-10-22 20:50:15,2.5102773734331723,2.0,0.0,16192.0,4.51849927217971,,,-25.800000000000495,38687.5746835541,0.0,"(-1, 1]"
41.006124,28.638785,171.7,2021-10-22 20:50:17,0.7837515197300976,2.0,-0.30000000000001137,16194.0,1.4107527355141758,,,-26.100000000000506,38688.35843507383,,
41.006123,28.638787,171.7,2021-10-22 20:50:18,0.20154432559000637,1.0,0.0,16195.0,0.725559572124023,,,-26.100000000000506,38688.55997939942,0.0,"(-1, 1]"
41.006123,28.63879,171.7,2021-10-22 20:50:19,0.2520182429478138,1.0,0.0,16196.0,0.9072656746121296,,,-26.100000000000506,38688.81199764237,0.0,"(-1, 1]"
41.006122,28.638792,171.7,2021-10-22 20:50:21,0.20154432785774812,2.0,0.0,16198.0,0.3627797901439466,,,-26.100000000000506,38689.01354197023,0.0,"(-1, 1]"
41.006121,28.638794,171.7,2021-10-22 20:50:22,0.20154432984084886,1.0,0.0,16199.0,0.725559587427056,,,-26.100000000000506,38689.21508630007,0.0,"(-1, 1]"
41.006121,28.638797,171.7,2021-10-22 20:50:24,0.2520182505966634,2.0,0.0,16201.0,0.4536328510739941,,,-26.100000000000506,38689.46710455067,0.0,"(-1, 1]"
41.00612,28.638799,171.7,2021-10-22 20:50:26,0.20154433171747535,2.0,0.0,16203.0,0.36277979709145564,,,-26.100000000000506,38689.66864888238,0.0,"(-1, 1]"
41.00612,28.638801,171.7,2021-10-22 20:50:27,0.1680121698130251,1.0,0.0,16204.0,0.6048438113268904,,,-26.100000000000506,38689.8366610522,0.0,"(-1, 1]"
41.006119,28.638803,171.7,2021-10-22 20:50:28,0.20154433423401166,1.0,0.0,16205.0,0.725559603242442,,,-26.100000000000506,38690.03820538643,0.0,"(-1, 1]"
41.006118,28.638806,171.7,2021-10-22 20:50:30,0.275509042362937,2.0,0.0,16207.0,0.4959162762532866,,,-26.100000000000506,38690.31371442879,0.0,"(-1, 1]"
41.006118,28.638808,171.7,2021-10-22 20:50:31,0.16801217491225787,1.0,0.0,16208.0,0.6048438296841283,,,-26.100000000000506,38690.4817266037,0.0,"(-1, 1]"
41.00608,28.638839,171.7,2021-10-22 20:50:33,4.96748353431913,2.0,0.0,16210.0,8.941470361774433,,,-26.100000000000506,38695.44921013802,0.0,"(-1, 1]"
41.006062,28.63886,171.7,2021-10-22 20:50:35,2.669675796875213,2.0,0.0,16212.0,4.805416434375384,,,-26.100000000000506,38698.11888593489,0.0,"(-1, 1]"
41.006063,28.638879,171.7,2021-10-22 20:50:37,1.5999942249708843,2.0,0.0,16214.0,2.8799896049475917,,,-26.100000000000506,38699.71888015986,0.0,"(-1, 1]"
41.006061,28.638882,171.1,2021-10-22 20:50:38,0.33627582168270653,1.0,-0.5999999999999943,16215.0,1.2105929580577435,171.1,,-26.7000000000005,38700.05515598154,,
41.006025,28.639004,171.4,2021-10-22 20:50:50,1.7444884495628834,1.0,0.30000000000001137,16227.0,6.280158418426381,,,-26.40000000000049,38701.79964443111,17.2,"(10, 30]"
41.006037,28.639013,171.5,2021-10-22 20:50:52,1.5349503342013957,2.0,0.09999999999999432,16229.0,2.7629106015625124,,,-26.300000000000495,38703.33459476531,6.5,"(5, 10]"
41.006033,28.639027,171.5,2021-10-22 20:50:53,1.2575581102705944,1.0,0.0,16230.0,4.52720919697414,,,-26.300000000000495,38704.59215287558,0.0,"(-1, 1]"
41.006038,28.639053,171.6,2021-10-22 20:50:55,2.253965400400066,2.0,0.09999999999999432,16232.0,4.057137720720119,,,-26.2000000000005,38706.84611827598,4.4,"(3, 5]"
41.006048,28.63907,171.7,2021-10-22 20:50:57,1.8107145307871106,2.0,0.09999999999999432,16234.0,3.2592861554167993,,,-26.100000000000506,38708.656832806766,5.5,"(5, 10]"
41.00606,28.639089,171.8,2021-10-22 20:50:59,2.081355886809235,2.0,0.10000000000002274,16236.0,3.7464405962566225,,,-26.000000000000483,38710.73818869358,4.8,"(3, 5]"
